=== OK (:diff present) === 25
=== HARDCODED nums, no :diff (need fix) === 59
  3 ぜーろっ
    UG: 攻撃値とブロックを0にする。
    DESC: カウント。相手の攻撃値を0にする。トランス1。
    KEY: HYPNOSISCREATOR-ZERO_OUT
  4 スライム催眠
    UG: 「粘液付与3枚」
    DESC: カウント。1ターンの間、相手の名前を「スライム」に、行動を「粘液付与5枚」に上書きする。トランス1。
    KEY: HYPNOSISCREATOR-SLIME_HYPNOSIS
  5 心停止催眠
    UG: 相手の心臓が止まり追加のレリック報酬を獲得する。
    DESC: カウント。3ターン後、相手の心臓が止まる。ボスの場合は2倍のターン数になる。
    KEY: HYPNOSISCREATOR-CARDIAC_ARREST_HYPNOSIS
  7 感度3000倍
    UG: コストが1に
    DESC: トランス3。必ず性癖に刺さる。このターン、相手の受けるダメージを3.000倍にする。
    KEY: HYPNOSISCREATOR-SENSITIVITY3000
  8 ASMR催眠
    UG: 破滅8
    DESC: プレイヤーは「左」「右」に割り振られる。左右交互にプレイするたび、対象に破滅5を付与する。
    KEY: HYPNOSISCREATOR-ASMR_HYPNOSIS
  9 連続トランス
    UG: 相手すべてにトランス1を3回付与し、……（全体攻撃化）
    DESC: トランス1を3回付与し、性癖に「トランス」を追加する。
    KEY: HYPNOSISCREATOR-CONTINUOUS_TRANCE
 10 薬物催眠
    UG: カウント。毒10、破滅15、筋力低下3、弱体3、脱力3、沼3を付与する。
    DESC: カウント。毒7、破滅7、筋力低下2、弱体2、脱力2、沼2を付与する。
    KEY: HYPNOSISCREATOR-DRUG_HYPNOSIS
 15 前戯
    UG: 弱体2と脱力2
    DESC: 弱体1と脱力1を付与し1エナジーを得る。
    KEY: HYPNOSISCREATOR-PREFINGER
 16 ラポール
    UG: ターン開始時、手札のカウントがひとつ追加で進む。
    DESC: 手札のカウントを1つ進める。ターン開始時、前のターンに相手を攻撃していなかった場合に手札のカウントがひとつ追加で進む。
    KEY: HYPNOSISCREATOR-RAPPORT
 17 カタレプシー
    UG: 相手がトランス時はスローの蓄積量がリセットされない。
    DESC: 相手にスロー1を付与する。
    KEY: HYPNOSISCREATOR-CATALEPSY
 20 好き好き催眠
    UG: 相手がバフ行動またはブロックを予定している場合
    DESC: カウント。相手がバフ行動を予定している場合、その対象をプレイヤーに変更する。トランス1。
    KEY: HYPNOSISCREATOR-LOVE_HYPNOSIS
 21 認知シャッフル催眠
    UG: ランダムに3枚生成し
    DESC: カウント。トランス2。キャラクターカード3枚からひとつ選び、対応するパワー効果を得る。ターン開始時に対応するカードをランダムに2枚生成し、そのターンコストを支払わずにプレイできる。相手がトランス状態中継続する。
    KEY: HYPNOSISCREATOR-COGNITIVE_SHUFFLE
 23 教祖化
    UG: 次のターンに1エナジーを得てカードを2枚引く。
    DESC: すべての性癖カードが相手の性癖に刺さるようになる。トランスを付与するたび、次のターンに1エナジーを得てカードを1枚引く。
    KEY: HYPNOSISCREATOR-CULT_LEADER
 24 軟酥の法
    UG: デバフすべてを解除する。
    DESC: デバフを1種類解除する。
    KEY: HYPNOSISCREATOR-SOFT_TECHNIQUE
 27 初心者向け催眠
    UG: 次の2枚の性癖カード
    DESC: 破滅12を付与する。対象にプレイする次の性癖カードの性癖を相手に植え付ける。トランス1。
    KEY: HYPNOSISCREATOR-BEGINNER_HYPNOSIS
 29 ちゃんとできるね？
    UG: 脱力2を付与する。沼1を付与する。
    DESC: 脱力1を付与する。沼1を付与する。
    KEY: HYPNOSISCREATOR-CAN_DO_IT
 35 指折り数えて
    UG: コスト0
    DESC: 手札のカウントカードすべてのコストを1下げる。
    KEY: HYPNOSISCREATOR-FINGER_COUNT
 36 ふにゃへにゃ
    UG: 1コストになる
    DESC: トランス状態の相手が与えるダメージが、スタック数1につき20%低下する。
    KEY: HYPNOSISCREATOR-SOFTEN
 37 寝かしつけ催眠
    UG: 睡眠2を与える。対象のHPを30回復する。
    DESC: カウント。睡眠1を与える。対象のHPを20回復する。トランス1。
    KEY: HYPNOSISCREATOR-LULLABY_HYPNOSIS
 41 快の循環
    UG: 破滅15を付与する。対象がトランス状態なら、さらに破滅15
    DESC: 破滅10を付与する。対象がトランス状態なら、さらに破滅10を付与する。このカードを手札に戻す。
    KEY: HYPNOSISCREATOR-PLEASURE_CYCLE
 43 メトロノーム
    UG: 17ブロックを得る。
    DESC: 13ブロックを得る。次のターン、2枚追加で引く。
    KEY: HYPNOSISCREATOR-METRONOME_CARD
 44 意識を飛ばす光
    UG: 9ブロックを得る。脱力2を付与する。
    DESC: 8ブロックを得る。脱力1を付与する。
    KEY: HYPNOSISCREATOR-GAZE_LIGHT
 48 調教コマンド
    UG: 5枚
    DESC: ランダムな3枚のDomSubコマンドカードを手札に加える。
    KEY: HYPNOSISCREATOR-TRAINING_COMMAND_CARD
 51 ポリネシアン催眠
    UG: 睡眠3、沼3
    DESC: カウント。相手すべてに睡眠2、沼2、トランス1を付与。
    KEY: HYPNOSISCREATOR-POLYNESIAN_HYPNOSIS
 53 侵食
    UG: 相手の性癖に該当するカードが優先して生成される。
    DESC: アタックをプレイするたび、ランダムな催眠系カウントカードを手札に1枚加える。
    KEY: HYPNOSISCREATOR-CORROSION
 54 触手の想起
    UG: 締め付け7
    DESC: 締め付け5を付与する。次のターン、このカードのコピーを手札に加える。
    KEY: HYPNOSISCREATOR-TENTACLE_RECALL
 55 糸色 丁頁 イ崔 目民
    UG: HPを失う量が7ずつ増えていく。
    DESC: カウント。対象はHP15を失う。トランス1。このカードは何度でもアップグレードできる。
    KEY: HYPNOSISCREATOR-INFINITE_UPGRADE_STRING
 56 Kneel!
    UG: UGなし
    DESC: 跪け。沼1を付与する。
    KEY: HYPNOSISCREATOR-KNEEL
 57 Look!
    UG: UGなし
    DESC: 眼を見ろ。破滅5を付与する。
    KEY: HYPNOSISCREATOR-LOOK
 59 Relax!
    UG: UGなし
    DESC: リラックス。脱力1を付与する。
    KEY: HYPNOSISCREATOR-RELAX
 60 Present!
    UG: UGなし
    DESC: 見せろ。ランダムなバフを1つ奪う。
    KEY: HYPNOSISCREATOR-PRESENT
 61 Trance!
    UG: UGなし
    DESC: 落ちろ。トランス1。
    KEY: HYPNOSISCREATOR-TRANCE
 62 Crawl!
    UG: UGなし
    DESC: 四つん這いになれ。沼1を付与する。
    KEY: HYPNOSISCREATOR-CRAWL
 63 Don't Move!
    UG: UGなし
    DESC: 動くな。対象は筋力2を失う。
    KEY: HYPNOSISCREATOR-DONT_MOVE
 64 Roll!
    UG: UGなし
    DESC: ごろん。弱体1を付与する。
    KEY: HYPNOSISCREATOR-ROLL
 65 Cum!
    UG: UGなし
    DESC: いけ。対象は体力19を失う。
    KEY: HYPNOSISCREATOR-CUM
 66 Good!
    UG: UGなし
    DESC: いい子だ。廃棄されたカード1枚を選び、手札に加える。
    KEY: HYPNOSISCREATOR-GOOD
 69 なでなで
    UG: 脱力1を付与する。カードを2枚引く。
    DESC: 脱力1を付与する。カードを1枚引く。
    KEY: HYPNOSISCREATOR-PETTING
 72 壱佰捌煩悩
    UG: プレイ後は山札に入る。
    DESC: すべての相手を、すべての性癖に目覚めさせる。プレイ後、コストが1増加する。3コストのこのカードをプレイした時、すべての敵に1ダメージを108回与えて廃棄される。
    KEY: HYPNOSISCREATOR-HUNDRED_EIGHT
 74 赤ちゃん催眠
    UG: 縮小4を付与する。
    DESC: カウント。対象のバフをすべて解除し、縮小2を付与する。トランス1。
    KEY: HYPNOSISCREATOR-BABY_HYPNOSIS
 75 言葉の洪水
    UG: カードを2枚引く。
    DESC: 催眠系カウントカードをプレイした時、カードを1枚引く。
    KEY: HYPNOSISCREATOR-WORD_FLOOD
 76 暗示解除
    UG: エナジーを獲得し、同じ数だけカードを引く。
    DESC: 0ダメージを与える。相手のトランス状態を解除し、その数値に応じたエナジーを獲得する。
    KEY: HYPNOSISCREATOR-SUGGESTION_RELEASE
 77 ご主人様の言うとおり
    UG: アブノーマル：筋力1と敏捷1を得る。SM：活力3を得る。DomSub：ブロック2
    DESC: 性癖カードをプレイするたび、対応する効果を得る。アブノーマル：筋力1を得る。SM：活力2を得る。DomSub：ブロック1を得る。
    KEY: HYPNOSISCREATOR-AS_YOU_WISH
 78 性倒錯への理解
    UG: 3ブロック
    DESC: 性癖カードをプレイするたび、2ブロックを得る。
    KEY: HYPNOSISCREATOR-FETISH_UNDERSTANDING
 79 メンタルケア
    UG: 10ブロックを得る。沼2
    DESC: 破滅を除く対象のデバフをすべて解除する。解除したデバフ1種類につき、8ブロックを得る。沼1を付与する。
    KEY: HYPNOSISCREATOR-MENTAL_CARE
 80 布教欲求
    UG: 戦闘終了時、25ゴールドを獲得する。
    DESC: 推し活と沼2を付与する。戦闘終了時、15ゴールドを獲得する。
    KEY: HYPNOSISCREATOR-PROSELYTIZE
 85 自己暗示
    UG: 筋力2を得る。敏捷2を得る。
    DESC: 筋力1を得る。敏捷1を得る。この戦闘中、ランダムな心臓レリックを3つ獲得する。
    KEY: HYPNOSISCREATOR-SELF_SUGGESTION
 87 ゼロへの近道
    UG: 2コストになる。
    DESC: 3ブロックを得る。これを1数値を減らして0ブロックを得るまで繰り返す。手札の催眠系カウントカードのコストを0にする。（Nブロックを得る）
    KEY: HYPNOSISCREATOR-ZERO_SHORTCUT
 88 もうちょっと我慢しようね
    UG: 2枚選ぶ。
    DESC: 催眠系カウントカードを1枚選ぶ。そのコストを初期値に戻し、リプレイ1を付与する。
