AEONGLASS	Aeonglass
ARCHITECT	Architect
ASSASSIN_RUBY_RAIDER	AssassinRubyRaider
AXEBOT	Axebot
AXE_RUBY_RAIDER	AxeRubyRaider
BATTLE_FRIEND_V1	BattleFriendV1
BATTLE_FRIEND_V2	BattleFriendV2
BATTLE_FRIEND_V3	BattleFriendV3
BIG_DUMMY	BigDummy
BOWLBUG_EGG	BowlbugEgg
BOWLBUG_NECTAR	BowlbugNectar
BOWLBUG_ROCK	BowlbugRock
BOWLBUG_SILK	BowlbugSilk
BRUTE_RUBY_RAIDER	BruteRubyRaider
BYGONE_EFFIGY	BygoneEffigy
BYRDONIS	Byrdonis
BYRDPIP	Byrdpip
CALCIFIED_CULTIST	CalcifiedCultist
CEREMONIAL_BEAST	CeremonialBeast
CHOMPER	Chomper
CORPSE_SLUG	CorpseSlug
CROSSBOW_RUBY_RAIDER	CrossbowRubyRaider
CRUSHER	Crusher
CUBEX_CONSTRUCT	CubexConstruct
DAMP_CULTIST	DampCultist
DECIMILLIPEDE_SEGMENT_BACK	DecimillipedeSegmentBack
DECIMILLIPEDE_SEGMENT_FRONT	DecimillipedeSegmentFront
DECIMILLIPEDE_SEGMENT_MIDDLE	DecimillipedeSegmentMiddle
DEPRECATED_MONSTER	DeprecatedMonster
DEVOTED_SCULPTOR	DevotedSculptor
ENTOMANCER	Entomancer
EXOSKELETON	Exoskeleton
EYE_WITH_TEETH	EyeWithTeeth
FABRICATOR	Fabricator
FAKE_MERCHANT_MONSTER	FakeMerchantMonster
FAT_GREMLIN	FatGremlin
FLAIL_KNIGHT	FlailKnight
FLYCONID	Flyconid
FOGMOG	Fogmog
FOSSIL_STALKER	FossilStalker
FROG_KNIGHT	FrogKnight
FUZZY_WURM_CRAWLER	FuzzyWurmCrawler
GAS_BOMB	GasBomb
GLOBE_HEAD	GlobeHead
GREMLIN_MERC	GremlinMerc
GUARDBOT	Guardbot
HAUNTED_SHIP	HauntedShip
HUNTER_KILLER	HunterKiller
INFESTED_PRISM	InfestedPrism
INKLET	Inklet
KIN_FOLLOWER	KinFollower
KIN_PRIEST	KinPriest
KNOWLEDGE_DEMON	KnowledgeDemon
LAGAVULIN_MATRIARCH	LagavulinMatriarch
LEAF_SLIME_M	LeafSlimeM
LEAF_SLIME_S	LeafSlimeS
LIVING_FOG	LivingFog
LIVING_SHIELD	LivingShield
LOUSE_PROGENITOR	LouseProgenitor
MAGI_KNIGHT	MagiKnight
MAWLER	Mawler
MECHA_KNIGHT	MechaKnight
MOCK_ARTIFACT_MONSTER	MockArtifactMonster
MOCK_ATTACK_AND_SUMMON_MINION_MONSTER	MockAttackAndSummonMinionMonster
MOCK_ATTACK_MONSTER	MockAttackMonster
MOCK_INTANGIBLE_MONSTER	MockIntangibleMonster
MOCK_PLATING_MONSTER	MockPlatingMonster
MOCK_REATTACH_MONSTER	MockReattachMonster
MULTI_ATTACK_MOVE_MONSTER	MultiAttackMoveMonster
MYSTERIOUS_KNIGHT	MysteriousKnight
MYTE	Myte
NIBBIT	Nibbit
NOISEBOT	Noisebot
ONE_HP_MONSTER	OneHpMonster
OSTY	Osty
OVICOPTER	Ovicopter
OWL_MAGISTRATE	OwlMagistrate
PAELS_LEGION	PaelsLegion
PARAFRIGHT	Parafright
PHANTASMAL_GARDENER	PhantasmalGardener
PHROG_PARASITE	PhrogParasite
PUNCH_CONSTRUCT	PunchConstruct
QUEEN	Queen
ROCKET	Rocket
SCROLL_OF_BITING	ScrollOfBiting
SEAPUNK	Seapunk
SEWER_CLAM	SewerClam
SHRINKER_BEETLE	ShrinkerBeetle
SINGLE_ATTACK_MOVE_MONSTER	SingleAttackMoveMonster
SKULKING_COLONY	SkulkingColony
SLIMED_BERSERKER	SlimedBerserker
SLITHERING_STRANGLER	SlitheringStrangler
SLUDGE_SPINNER	SludgeSpinner
SLUMBERING_BEETLE	SlumberingBeetle
SNAPPING_JAXFRUIT	SnappingJaxfruit
SNEAKY_GREMLIN	SneakyGremlin
SOUL_FYSH	SoulFysh
SOUL_NEXUS	SoulNexus
SPECTRAL_KNIGHT	SpectralKnight
SPINY_TOAD	SpinyToad
STABBOT	Stabbot
TEN_HP_MONSTER	TenHpMonster
TERROR_EEL	TerrorEel
TEST_SUBJECT	TestSubject
THE_ADVERSARY_MK_ONE	TheAdversaryMkOne
THE_ADVERSARY_MK_THREE	TheAdversaryMkThree
THE_ADVERSARY_MK_TWO	TheAdversaryMkTwo
THE_FORGOTTEN	TheForgotten
THE_INSATIABLE	TheInsatiable
THE_LOST	TheLost
THE_OBSCURA	TheObscura
THIEVING_HOPPER	ThievingHopper
TOADPOLE	Toadpole
TORCH_HEAD_AMALGAM	TorchHeadAmalgam
TOUGH_EGG	ToughEgg
TRACKER_RUBY_RAIDER	TrackerRubyRaider
TUNNELER	Tunneler
TURRET_OPERATOR	TurretOperator
TWIG_SLIME_M	TwigSlimeM
TWIG_SLIME_S	TwigSlimeS
TWO_TAILED_RAT	TwoTailedRat
VANTOM	Vantom
VINE_SHAMBLER	VineShambler
WATERFALL_GIANT	WaterfallGiant
WRIGGLER	Wriggler
ZAPBOT	Zapbot
